source_url,status_code,location,redirect_chain,final_url,final_status,canonical_url,robots_meta,x_robots_tag,sitemap_inclusion,internal_link_count,outgoing_internal_link_count,indexability,content_type,issue_classification,recommended_action
https://sashabd.com/led-display/accessories/receiving-card/hd-r716/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/hd-r716/,200,https://sashabd.com/led-display/accessories/receiving-card/hd-r716/,"index, follow",,true,30,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/receiving-card/r-732/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/r-732/,200,https://sashabd.com/led-display/accessories/receiving-card/r-732/,"index, follow",,true,30,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/rental-display/p3-rental-led-display/,200,,,https://sashabd.com:4173/led-display/rental-display/p3-rental-led-display/,200,https://sashabd.com/led-display/rental-display/p3-rental-led-display/,"index, follow",,true,33,76,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/receiving-card/novastar-mrv336-receiving-card/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/novastar-mrv336-receiving-card/,200,https://sashabd.com/led-display/accessories/receiving-card/novastar-mrv336-receiving-card/,"index, follow",,true,10,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/receiving-card/hd-r516/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/hd-r516/,200,https://sashabd.com/led-display/accessories/receiving-card/hd-r516/,"index, follow",,true,22,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/receiving-card/colorlight-5a-75e-receiving-card/,200,,,https://sashabd.com:4173/led-display/accessories/receiving-card/colorlight-5a-75e-receiving-card/,200,https://sashabd.com/led-display/accessories/receiving-card/colorlight-5a-75e-receiving-card/,"index, follow",,true,10,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/controller/huidu-hd-a3l/,200,,,https://sashabd.com:4173/led-display/accessories/controller/huidu-hd-a3l/,200,https://sashabd.com/led-display/accessories/controller/huidu-hd-a3l/,"index, follow",,true,18,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/controller/huidu-hd-a5l/,200,,,https://sashabd.com:4173/led-display/accessories/controller/huidu-hd-a5l/,200,https://sashabd.com/led-display/accessories/controller/huidu-hd-a5l/,"index, follow",,true,18,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/controller/huidu-hd-a6l/,200,,,https://sashabd.com:4173/led-display/accessories/controller/huidu-hd-a6l/,200,https://sashabd.com/led-display/accessories/controller/huidu-hd-a6l/,"index, follow",,true,18,71,indexable,text/html; charset=utf-8,,None
https://sashabd.com/led-display/accessories/controller/huidu-vp410/,200,,,https://sashabd.com:4173/led-display/accessories/controller/huidu-vp410/,200,https://sashabd.com/led-display/accessories/controller/huidu-vp410/,"index, follow",,true,22,71,indexable,text/html; charset=utf-8,,None
